Title,Runtime (minutes),Language,Overview,Release Date,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,90,Japanese,"It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.",2019-08-30,"Animation, Adventure, Comedy, Fantasy","based on novel or book, magic, supernatural, parody, parallel world, fantasy world, seinen, anime, deity, isekai","Ai Kayano, Sora Amamiya, Rie Takahashi, Yui Horie, Jun Fukushima",Takaomi Kanasaki,"Crunchyroll, Crunchyroll Amazon Channel ",,,"J.C.STAFF, KADOKAWA, Sammy, Nippon Columbia, Sony Music Entertainment, MAGES., KADOKAWA Media House, 81 Produce, Toranoana",http://konosuba.com/
Batman: Hush,82,English,"A mysterious new villain known only as Hush uses a gallery of villains to destroy Batman's crime-fighting career as well as Bruce Wayne's personal life, which has been further complicated by a relationship with Selina Kyle/Catwoman.",2019-07-19,"Action, Animation, Crime, Mystery","superhero, cartoon, comic book, based on comic, adult animation, dc animated movie universe","Geoffrey Arend, Maury Sterling, Jennifer Morrison, Jason O'Mara, Sean Maher",Justin Copeland,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","DC Entertainment, Warner Bros. Animation",https://www.warnerbros.com/movies/batman-hush
Uncut Gems,136,English,"A charismatic New York City jeweler always on the lookout for the next big score makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides in his relentless pursuit of the ultimate win.",2019-08-30,"Drama, Thriller, Crime","bet, infidelity, new york city, gambling, auction, ethiopia, dark comedy, basketball, money, art house, debt, apartment building, opal, pawnshop, character study, jeweler, city life, neo-noir, independent film, black opal","LaKeith Stanfield, Adam Sandler, Idina Menzel, Kevin Garnett, Julia Fox","Josh Safdie, Benny Safdie","Netflix, Hoopla, Netflix basic with Ads, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","A24, Elara Pictures, IAC Films, Sikelia Productions, Scott Rudin Productions",https://a24films.com/films/uncut-gems
1917,119,English,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",2019-12-25,"War, Action, Drama","race against time, world war i, british army, soldier, trenches, 1910s, trench warfare, no man's land","Mark Strong, Andrew Scott, Dean-Charles Chapman, Richard Madden, George MacKay",Sam Mendes,"Paramount Plus Apple TV Channel , Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","DreamWorks Pictures, Reliance Entertainment, New Republic Pictures, Neal Street Productions, Mogambo Films, Amblin Partners",https://www.1917.movie/
Little Women,135,English,Four sisters come of age in America in the aftermath of the Civil War.,2019-12-25,"Drama, Romance","new york city, sibling relationship, based on novel or book, massachusetts, coming of age, remake, period drama, american civil war, christmas, 19th century, sister sister relationship, female writer, sisters","Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, Laura Dern",Greta Gerwig,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Columbia Pictures, Regency Enterprises, Pascal Pictures",https://www.littlewomen.movie/
The Grudge,93,English,"After a young mother murders her family in her own house, a detective attempts to investigate the mysterious case, only to discover that the house is cursed by a vengeful ghost. Now targeted by the demonic spirits, the detective must do anything to protect herself and her family from harm.",2019-12-31,"Horror, Mystery","japan, haunted house, curse, reboot","Andrea Riseborough, Jacki Weaver, Demián Bichir, John Cho, Lin Shaye",Nicolas Pesce,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Ghost House Pictures, Good Universe, Stage 6 Films, Screen Gems",Unknown
I Believe,89,English,A 9 year old boy experiences God's power in a supernatural way.,2019-06-06,"Family, Drama",None,"Matt Lindquist, Wilford Brimley, Jeremy London, Rowan Smyth, Tom Sizemore","Juergen Peretzki, Stacey Peretzki","Amazon Prime Video, Hoopla, UP Faith & Family Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Screen Savers Entertainment,http://www.ibelievethemovie.com/
The Wave,87,English,A man on the verge of a promotion takes a mysterious hallucinogenic drug that begins to tear down his reality and expose his life for what it really is.,2019-09-21,Science Fiction,None,"Justin Long, Sheila Vand, Katia Winter, Donald Faison, Tommy Flanagan",Gille Klabin,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",EchoWolf Productions,https://epic-pictures.com/film/the-wave
After,106,English,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.",2019-04-11,"Romance, Drama","based on novel or book, love, teenage crush","Shane Paul McGhie, Dylan Arnold, Hero Fiennes Tiffin, Khadijha Red Thunder, Josephine Langford",Jenny Gage,"Netflix, FilmBox+, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","CalMaple Films, Wattpad, Offspring Entertainment, Diamond Film Productions, Voltage Pictures, Frayed Pages Entertainment",Unknown
The Addams Family,86,English,"The Addams family's lives begin to unravel when they face-off against a treacherous, greedy crafty reality-TV host while also preparing for their extended family to arrive for a major celebration.",2019-10-10,"Family, Animation, Comedy, Fantasy","cartoon, black humor, family, addams family","Finn Wolfhard, Nick Kroll, Oscar Isaac, Chloë Grace Moretz, Charlize Theron","Conrad Vernon, Greg Tiernan","Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Cinesite Animation, Nitrogen Studios Canada, Bron Studios, Metro-Goldwyn-Mayer",https://www.addamsfamily.movie/
Aquaman: Heroines of Atlantis,6,English,Amber Heard and Nicole Kidman discuss their characters Mera and Atlanna.,2019-03-26,Documentary,behind the scenes,"Nicole Kidman, Temuera Morrison, James Wan, Amber Heard",Angela King,,,,,Unknown
My Grandpa is an Alien,79,Croatian,"Una and an alien robot have 24 hours to find her Grandpa who was kidnapped by aliens. The extraordinary adventure leads to friendship, the rational robotic logic is replaced by emotions and Una's selfless love saves her partly alien family.",2019-03-21,"Adventure, Family, Science Fiction",woman director,"Petra Polnišová, Nils Ole Oftebro, Ozren Grabarić, Lana Hranjec, Frano Mašković","Marina Andree Škop, Dražen Žarković","Amazon Prime Video, Hoopla ","Amazon Video, Vudu ","Amazon Video, Vudu ","Hrvatska Radiotelevizija, Studio Dim, Filmbin AS, Wady Films, MasterFilm, Artileria, Senca Studio, Fabrika",Unknown
John Wick: Chapter 3 - Parabellum,131,English,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",2019-05-15,"Action, Thriller, Crime","new york city, martial arts, bratva (russian mafia), casablanca, morocco, secret society, morocco, secret organization, black humor, sahara desert, sequel, organized crime, one man army, consequences, professional assassin, baba yaga, dog man friendship, intense","Laurence Fishburne, Mark Dacascos, Halle Berry, Keanu Reeves, Ian McShane",Chad Stahelski,"Netflix, fuboTV, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Thunder Road, Lionsgate, 87Eleven",https://www.lionsgate.com/movies/john-wick-chapter-3-parabellum
My Hero Academia: Heroes Rising,104,Japanese,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation … until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",2019-12-20,"Animation, Action, Fantasy, Adventure","japan, hero, superhero, fighting, super power, adult animation, shounen, anime","Nobuhiko Okamoto, Yoshio Inoue, Mio Imada, Yuka Terasaki, Daiki Yamashita",Kenji Nagasaki,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, Vudu, Microsoft Store ","BONES, dentsu, movic, Nippon Television Network Corporation, Shueisha, Sony Music Entertainment, Yomiuri Telecasting Corporation, TOHO, TOHO MUSIC",Unknown
Joker,122,English,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",2019-10-01,"Crime, Thriller, Drama","dream, street gang, society, psychopath, clown, villain, based on comic, murder, psychological thriller, criminal mastermind, mental illness, anarchy, character study, clown makeup, subway train, social realism, supervillain, tv host, 1980s, mother son relationship, origin story, falling into madness","Brett Cullen, Zazie Beetz, Joaquin Phoenix, Frances Conroy, Robert De Niro",Todd Phillips,"Netflix, Max, Max Amazon Channel, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Warner Bros. Pictures, Joint Effort, Village Roadshow Pictures, Bron Studios, DC Films",http://www.jokermovie.net/
Annabelle Comes Home,106,English,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her “safely” behind sacred glass and enlisting a priest’s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target—the Warrens' ten-year-old daughter, Judy, and her friends.",2019-06-26,Horror,"supernatural, babysitter, priest, doll, creepy doll, jump scare, possessed doll, supernatural power, the conjuring universe","Mckenna Grace, Vera Farmiga, Madison Iseman, Katie Sarife, Patrick Wilson",Gary Dauberman,,"Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Atomic Monster, The Safran Company, New Line Cinema",https://www.warnerbros.com/movies/annabelle-comes-home
Aladdin,127,English,A kindhearted street urchin named Aladdin embarks on a magical adventure after finding a lamp that releases a wisecracking genie while a power-hungry Grand Vizier vies for the same lamp that has the power to make their deepest wishes come true.,2019-05-22,"Adventure, Fantasy, Romance, Family","hero, hustler, palace, sultan, flying carpet, musical, rags to riches, romance, monkey, family, first love, based on myths, legends or folklore, genie, arabian nights, live action and animation, live action remake","Marwan Kenzari, Will Smith, Naomi Scott, Mena Massoud, Navid Negahban",Guy Ritchie,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store, Spectrum On Demand ","Walt Disney Pictures, Rideback",https://movies.disney.com/aladdin-2019
The Lion King,118,English,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",2019-07-12,"Adventure, Drama, Family, Animation","africa, lion, prince, redemption, musical, uncle, remake, grief, king, family, sidekick, live action and animation, father son relationship, live action remake","John Oliver, Chiwetel Ejiofor, Alfre Woodard, James Earl Jones, John Kani",Jon Favreau,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store ","Walt Disney Pictures, Fairview Entertainment",https://movies.disney.com/the-lion-king-2019
Five Feet Apart,116,English,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",2019-03-14,"Romance, Drama","forbidden love, terminal illness, hospital, best friend, falling in love, cystic fibrosis, star crossed lovers, first date, true love, teenager","Haley Lu Richardson, Kimberly Hebert Gregory, Cole Sprouse, Parminder Nagra, Moisés Arias",Justin Baldoni,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Wayfarer Entertainment, CBS Films",Unknown
Polaroid,88,English,"High school loner Bird Fitcher has no idea what dark secrets are tied to the mysterious Polaroid vintage camera she stumbles upon, but it doesn't take long to discover that those who have their picture taken meet a tragic end. Bird and her friends must survive one more night as they race to solve the mystery of the haunted Polaroid before it kills them all.",2019-01-10,"Horror, Thriller, Mystery","high school, 1970s, camera, undead, antique, polaroid, polaroid camera, haunted","Samantha Logan, Keenan Tracey, Kathryn Prescott, Priscilla Quintana, Tyler Young",Lars Klevberg,"Amazon Prime Video, Hulu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Dimension Films, The Weinstein Company, Eldorado Films, Vertigo Entertainment, Good Fear",Unknown
