Title,Runtime (minutes),Language,Overview,Release Date,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Cold Pursuit,119,English,"The quiet family life of Nels Coxman, a snowplow driver, is upended after his son's murder. Nels begins a vengeful hunt for Viking, the drug lord he holds responsible for the killing, eliminating Viking's associates one by one. As Nels draws closer to Viking, his actions bring even more unexpected and violent consequences, as he proves that revenge is all in the execution.",2019-02-07,"Action, Crime, Thriller, Comedy","drug dealer, dark comedy, colorado, revenge, gun battle, snow","Nicholas Holmes, Liam Neeson, Tom Jackson, Tom Bateman, Laura Dern",Hans Petter Moland,"Netflix, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","StudioCanal, Paradox Produksjon, MAS Productions, Summit Entertainment, Canal+, Ciné+",https://coldpursuit.movie
Countdown,90,English,"A young nurse downloads an app that tells her she only has three days to live. With time ticking away and a mysterious figure haunting her, she must find a way to save her life before time runs out.",2019-10-24,"Horror, Thriller","nurse, countdown, supernatural, religion, phone terror, devil, duringcreditsstinger, mysterious","Talitha Bateman, Peter Facinelli, Dillon Lane, Elizabeth Lail, Jordan Calloway",Justin Dec,"Netflix, Netflix basic with Ads ","Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Wrigley Pictures, Universal Pictures, STXfilms",Unknown
Pokémon Detective Pikachu,105,English,"In a world where people collect pocket-size monsters (Pokémon) to do battle, a boy comes across an intelligent monster who seeks to be a detective.",2019-05-03,"Action, Adventure, Fantasy","amnesia, detective, car crash, pocket monsters, whodunit, based on video game, missing person, missing parent, buddy comedy, neo-noir, live action and animation, pikachu character","Kathryn Newton, Ryan Reynolds, Justice Smith, Suki Waterhouse, Omar Chaparro",Rob Letterman,Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Legendary Pictures, The Pokémon Company, TOHO",http://www.detectivepikachumovie.net/
Spider-Man: Far From Home,129,English,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.",2019-06-28,"Action, Adventure, Science Fiction","venice, italy, superhero, school trip, europe, based on comic, sequel, destruction, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), tower of london","Jake Gyllenhaal, Marisa Tomei, Samuel L. Jackson, Jon Favreau, Tom Holland",Jon Watts,"Disney Plus, fuboTV, Starz Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Marvel Studios, Pascal Pictures, Columbia Pictures",https://www.marvel.com/movies/spider-man-far-from-home
Hotel Mumbai,123,English,"Mumbai, India, November 26, 2008. While several terrorists spread hatred and death through the city, others attack the Taj Mahal Palace Hotel. Both hotel staff and guests risk their lives, making unthinkable sacrifices to protect themselves and keep everyone safe while help arrives.",2019-03-14,"Thriller, History, Drama, Action","husband wife relationship, mumbai (bombay), india, based on true story, india, struggle for survival, religious fundamentalism, terrorist attack, luxury hotel, 2000s, islamic terrorism","Dev Patel, Armie Hammer, Nazanin Boniadi, Anupam Kher, Tilda Cobham-Hervey",Anthony Maras,"Hoopla, Cinemax Amazon Channel, Cinemax Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Electric Pictures, Xeitgeist Entertainment Group, Cyan Films, Thunder Road, Screen Australia, South Australian Film Corporation, Hamilton Films, S'YA Concept, Arclight Films, Ikaria, Story Bridge Films, Kojo Pictures, Double Barrel Productions, Ingenious Media, Fin Design & Effects, Adelaide Film Festival Investment Fund",http://hotelmumbaifilm.com
The Angry Birds Movie 2,97,English,"Red, Chuck, Bomb and the rest of their feathered friends are surprised when a green pig suggests that they put aside their differences and unite to fight a common threat. Aggressive birds from an island covered in ice are planning to use an elaborate weapon to destroy the fowl and swine.",2019-08-02,"Animation, Comedy, Adventure, Family","island, rivalry, sequel, family, animal kingdom","Josh Gad, Danny McBride, Bill Hader, Leslie Jones, Jason Sudeikis",Thurop Van Orman,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Rovio Animation, Columbia Pictures, Sony Pictures Animation, Rovio Entertainment",https://www.sonypictures.com/movies/theangrybirdsmovie2
Godzilla: King of the Monsters,132,English,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",2019-05-29,"Science Fiction, Action","mexico, boston, massachusetts, giant monster, cryptozoology, eco terrorism, creature feature, rodan, kaiju, aftercreditsstinger, global threat, animal horror, king ghidorah, sunken city, mothra, godzilla, monsterverse","Kyle Chandler, Ken Watanabe, Vera Farmiga, Millie Bobby Brown, Zhang Ziyi",Michael Dougherty,"Max, TNT, TBS, tru TV ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Legendary Pictures, Huahua Media, TOHO",http://www.godzillamovie.com
Balkan Line,130,Russian,"After the NATO bombing of Yugoslavia in 1999, the Yugoslav army pulls out of Kosovo region, leaving Serbian people at the mercy of the Albanian UCK. A small band of soldiers must take over the Slatina airport, and hold it until the Russian peacekeepers arrive.",2019-03-21,"Drama, Action, War",None,"Milena Radulović, Anton Pampushnyy, Gojko Mitić, Gosha Kutsenko, Miloš Biković",Andrey Volgin,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Archangel Studios, Upgrade Vision, Bless Film",Unknown
A Dog's Journey,109,English,A dog finds the meaning of his own existence through the lives of the humans he meets.,2019-05-03,"Family, Adventure, Drama","reincarnation, sequel, growing up, dog, animal shelter, pets","Kathryn Prescott, Betty Gilpin, Henry Lau, Dennis Quaid, Marg Helgenberger",Gail Mancuso,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Amblin Entertainment, Reliance Entertainment, Walden Media, Alibaba Pictures Group, Pariah, DreamWorks Pictures, Amblin Partners",https://www.adogsjourneymovie.com
Captain Marvel,124,English,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",2019-03-06,"Action, Adventure, Science Fiction","superhero, based on comic, alien invasion, super power, female hero, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), woman director, hero's journey, 1990s, alien technology","Brie Larson, Samuel L. Jackson, Jude Law, Ben Mendelsohn, Annette Bening","Anna Boden, Ryan Fleck","Disney Plus, fuboTV ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Marvel Studios,https://www.marvel.com/movies/captain-marvel
Midway,138,English,"The story of the Battle of Midway, and the leaders and soldiers who used their instincts, fortitude and bravery to overcome massive odds.",2019-11-06,"Action, Drama, War, History","world war ii, u.s. navy, battle of midway, pacific war, historical fiction, pacific theater, naval warfare, 1940s","Ed Skrein, Woody Harrelson, Mandy Moore, Luke Evans, Patrick Wilson",Roland Emmerich,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","AGC Studios, Centropolis Entertainment, Street Entertainment, Entertainment One, Starlight Culture Entertainment Group, Shanghai RuYi Entertainment",https://midway.movie
Queen of Hearts,127,Danish,"Anne, a brilliant and dedicated advocacy lawyer specialising in society’s most vulnerable, children and young adults, lives what appears to be the picture-perfect life with her doctor-husband, Peter, and their twin daughters. When her estranged teenage stepson, Gustav, moves in with them, Anne’s escalating desire leads her down a dangerous rabbit hole which, once exposed, unleashes a sequence of events destined to destroy her world.",2019-03-27,Drama,"lawyer, older woman younger man relationship, woman director, erotic thriller, age-gap relationship, stepmother stepson relationship","Liv Esmår Dannemann, Trine Dyrholm, Gustav Lindh, Magnus Krepper, Silja Esmår Dannemann",May el-Toukhy,Viaplay ,"Apple TV, Google Play Movies, YouTube ","Apple TV, Google Play Movies, YouTube ","Det Danske Filminstitut, Svenska Filminstitutet, Nordisk Film & TV Fond, DR, SVT, Nordisk Film Denmark",Unknown
How to Train Your Dragon: The Hidden World,104,English,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",2019-01-03,"Animation, Family, Adventure","based on novel or book, flying, viking, sequel, overpopulation, dragon, love interest, based on children's book","America Ferrera, Jay Baruchel, Gerard Butler, F. Murray Abraham, Cate Blanchett",Dean DeBlois,"fuboTV, FXNow ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","DreamWorks Animation, Mad Hatter Entertainment",https://www.howtotrainyourdragon.com/
Dark Phoenix,114,English,"The X-Men face their most formidable and powerful foe when one of their own, Jean Grey, starts to spiral out of control. During a rescue mission in outer space, Jean is nearly killed when she's hit by a mysterious cosmic force. Once she returns home, this force not only makes her infinitely more powerful, but far more unstable. The X-Men must now band together to save her soul and battle aliens that want to use Grey's new abilities to rule the galaxy.",2019-06-05,"Science Fiction, Action, Adventure","superhero, mutant, telekinesis, based on comic, superhero team, 1990s, cosmic","Sophie Turner, James McAvoy, Tye Sheridan, Michael Fassbender, Nicholas Hoult",Simon Kinberg,"Disney Plus, fuboTV ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Genre Films, Hutch Parker Entertainment, 20th Century Fox, TSG Entertainment, Marvel Entertainment",https://www.20thcenturystudios.com/movies/dark-phoenix
Fantastic Return To Oz,80,Russian,"A year to the day after Dorothy and the people of the Emerald City defeated Urfin Jus, the villain is trying to exact his revenge. To command the army of Carraci, however, Urfin needs not only the magic book, but also Dorothy’s silver slippers. The slippers are safely hidden away in Dorothy’s house. Unfortunately, Dorothy’s guest, Tim, is overcome by curiosity and picks up the shoes, accidentally transporting himself, Dorothy and the slippers to the Land of Oz. The Emerald City and its citizens are in danger once again.",2019-10-24,Animation,None,"Dmitriy Dyuzhev, Aleksandr Bykovsky, Dimitri Vysotsky, Yekaterina Gorokhovskaya, Konstantin Khabenskiy",Fedor Dmitriev,,,,"Melnitsa Animation Studio, CTB Film Company, Cinema Fund",Unknown
Maleficent: Mistress of Evil,119,English,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.",2019-10-16,"Family, Fantasy, Adventure, Action","magic, fairy tale, fairy, villain, sequel, live action remake","Michelle Pfeiffer, Elle Fanning, Harris Dickinson, Sam Riley, Angelina Jolie",Joachim Rønning,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store, Spectrum On Demand ","Walt Disney Pictures, Roth Films",https://movies.disney.com/maleficent-mistress-of-evil
