Title,Runtime (minutes),Language,Overview,Release Date,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Evangelion: 3.0+1.0 Thrice Upon a Time,155,Japanese,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",2021-03-08,"Animation, Action, Science Fiction, Drama","technology, dystopia, mecha, battle, anime, father son conflict, humanity under attack, based on tv series, post apocalypse","Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi, Maaya Sakamoto, Yuko Miyamura","Katsuichi Nakayama, Kazuya Tsurumaki, Hideaki Anno, Mahiro Maeda",Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ",khara,https://www.amazon.com/dp/B098WNZSQ3
Doors,84,English,"Without warning, millions of mysterious alien “doors” suddenly appear around the globe. In a rush to determine the reason for their arrival, mankind must work together to understand the purpose of these cosmic anomalies.",2021-03-23,Science Fiction,"portal, anthology","Wilson Bethel, Josh Peck, Lina Esco, Jordan Rock, Kyp Malone","Saman Kesh, Jeff Desom, Dugan O'Neal",Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Bloody Disgusting, BoulderLight Pictures, Going Rogue",Unknown
Nobody,92,English,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",2021-03-18,"Action, Thriller","assassin, double life, midlife crisis, bratva (russian mafia), secret organization, thief, home invasion, family, duringcreditsstinger","Bob Odenkirk, Connie Nielsen, Aleksey Serebryakov, Michael Ironside, Christopher Lloyd",Ilya Naishuller,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","87North Productions, Odenkirk Provissiero Entertainment, Eighty Two Films",https://www.nobody.movie
Wrath of Man,119,English,"A cold and mysterious new security guard for a Los Angeles cash truck company surprises his co-workers when he unleashes precision skills during a heist. The crew is left wondering who he is and where he came from. Soon, the marksman's ultimate motive becomes clear as he takes dramatic and irrevocable steps to settle a score.",2021-04-22,Action,"robbery, crime boss, revenge, shootout, shooter, los angeles, california, theft, security guard, ex soldier, cash truck","Josh Hartnett, Jason Statham, Holt McCallany, Scott Eastwood, Darrell D'Silva",Guy Ritchie,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Miramax, Toff Guy Films, Flic Films, Metro-Goldwyn-Mayer",https://www.miramax.com/movie/wrath-of-man
The Serpent,90,English,Top special agent Lucinda Kavsky works for a secret part of the CIA. She's given a special assignment but then set up by her own agency.,2021-01-28,Action,"spy, special agent","Gia Skova, Travis Aaron Wade, Craig Conway, Jason Burrill, Nigel Vonas",Gia Skova,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Serpent Productions,http://serpentmovie.com
Tom & Jerry,101,English,"Tom the cat and Jerry the mouse get kicked out of their home and relocate to a fancy New York hotel, where a scrappy employee named Kayla will lose her job if she can’t evict Jerry before a high-class wedding at the hotel. Her solution? Hiring Tom to get rid of the pesky mouse.",2021-02-10,"Comedy, Family, Animation","aftercreditsstinger, live action and animation","Colin Jost, Chloë Grace Moretz, Rob Delaney, Michael Peña, Ken Jeong",Tim Story,"Netflix, Max, Max Amazon Channel, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Warner Bros. Pictures Animation, Turner Entertainment, The Story Company, Warner Bros. Pictures",https://www.tomandjerrymovie.com
Weekend Warriors,93,English,A fun camping trip turns into a desperate fight for survival after two kids witness a horrific event in the wild. They have to endure the elements and wildlife and they must also find a way to reach civilization before it's too late.,2021-04-01,"Action, Thriller",None,"Corbin Bernsen, Jason Michael Carroll, Jason London, Juliet Rusche, Jack Gross",Ritchie Greer,,"Apple TV, Amazon Video, Google Play Movies, YouTube ","Apple TV, Amazon Video, Google Play Movies, YouTube ","My Black Lab Productions, Magic Arrow Films",https://www.weekendwarriorsthefilm.com/
The Misfits,94,English,"After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others.",2021-06-03,"Action, Thriller","gold, middle east, heist, prison break","Pierce Brosnan, Jamie Chung, Nick Cannon, Tim Roth, Rami Jaber",Renny Harlin,"Netflix, Starz Apple TV Channel, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Kjam Media, RNG Entertainment, FilmGate Productions, Highland Film Group",Unknown
Dune,155,English,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",2021-09-15,"Science Fiction, Adventure","empire, future, epic, army, based on novel or book, prophecy, dystopia, emperor, sand, spice, hallucinogen, treason, baron, revenge, premonition, betrayal, space, water shortage, creature, desert, knife fight, destiny, giant worm, space opera, sand dune, messiah, domineering, mother son relationship, giant creature","Stellan Skarsgård, Rebecca Ferguson, Josh Brolin, Oscar Isaac, Timothée Chalamet",Denis Villeneuve,"Hulu, Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Legendary Pictures,https://www.dunemovie.com/
The Conjuring: The Devil Made Me Do It,111,English,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",2021-05-25,"Horror, Mystery, Thriller","supernatural, exorcism, connecticut, sequel, paranormal investigation, 1980s, religious horror, the conjuring universe","Sarah Catherine Hook, Vera Farmiga, Ruairí O'Connor, Julian Hilliard, Patrick Wilson",Michael Chaves,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","New Line Cinema, The Safran Company, Atomic Monster",http://www.theconjuringmovie.net
Joey and Ella,99,English,"When a baby kangaroo gets accidentally swept up in a jewelry heist, she becomes separated from her mother for the first time in her young life. Alone and frightened, a worldly teenage girl Ella, who also knows the pain of losing her mother, discovers her and nurses Joey back to health. However, when Joey is falsely implicated in the robbery, Ella has to work quickly to reunite her with her mother before shes either captured by the bumbling jewel thieves or taken into custody by a determined detective hot on their trail.",2021-07-27,"Family, Adventure, Comedy",None,"Avalon Howard, Brooks Ryan, Britt Allen, Ashton Leigh, Angela Tran",Stephen Shimek,Pure Flix ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, FlixFling ","Ace Entertainment Films, 101 Films, Lionsgate Home Entertainment, Grindstone Entertainment Group, Black Sheep Films, Lionsgate",https://www.ace-entertainment.com/tvmovies/joey-ella
The Tomorrow War,138,English,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",2021-09-03,"Action, Science Fiction, Adventure","world cup, time travel, global warming, glacier, alien, alien invasion, military, future war, father son reunion, hope for future, changing the past or future, message from the future, father son relationship, father daughter relationship, world war","Sam Richardson, Betty Gilpin, J.K. Simmons, Yvonne Strahovski, Chris Pratt",Chris McKay,Amazon Prime Video ,"Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Google Play Movies, YouTube, Vudu, Microsoft Store ","Skydance Media, Phantom Four, Lit Entertainment Group",https://www.amazon.com/dp/B093CQZ2SM
Venom: Let There Be Carnage,97,English,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",2021-09-30,"Science Fiction, Action, Adventure","hero, psychopath, superhero, anti hero, villain, based on comic, sequel, creature, fear, aftercreditsstinger, symbiote, carnage, venom character","Naomie Harris, Woody Harrelson, Reid Scott, Michelle Williams, Tom Hardy",Andy Serkis,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Arad Productions",https://www.venom.movie
Snakehead,89,English,"Sister Tse is brought to New York by a Snakehead, a human smuggler. Although she is indebted to the crime family responsible for her transport, her survival instincts help her gain favor with the matriarch, and she rises quickly in the ranks. Soon Tse must reconcile her success with her real reason for coming to America—to find the child that was taken from her. In the end, Sister Tse must draw on the strength she found in transforming her victimhood into power.",2021-10-29,"Action, Drama, Crime","new york city, immigration, migration","Shuya Chang, Sung Kang, Celia Au, Devon Diep, Jade Wu",Evan Leong,Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Samuel Goldwyn Films, Roadside Attractions, Arowana Studios, 408 Films",Unknown
Extinct,85,English,"Op and Ed, two adorable donut-shaped animals - flummels - accidentally time-travel from 1835 to modern-day Shanghai.  There they discover traffic, trans fats, and worst of all, that flummels are now extinct. It's up to this bumbling pair to save themselves and their species...and, just maybe, change the course of history.",2021-02-11,"Animation, Comedy, Family, Adventure","time travel, extinct animals","Zazie Beetz, Rachel Bloom, Jim Jefferies, Ken Jeong, Adam Devine",David Silverman,"Netflix, Netflix basic with Ads ",,,"China Lion Entertainment Production, Cinesite Animation, HB Wink Animation, Timeless Films, Tolerable Entertainment, Huayi Brothers Pictures, Huayi Tencent Entertainment Company",https://www.netflix.com/title/81159137
Ip Man: The Awakening,76,Chinese,"When a young Master Ip stops a kidnapping, he ignites a turf war with a ruthless human-trafficking ring. In retaliation, the gang kidnaps one of Ip Man's close friends, forcing him to face the group's brutal boxing champion head-on.",2021-09-16,"Action, Adventure, History, Drama","martial arts, kung fu, hong kong, wing chun","Chen Guanying, Sergio De Ieso, Tse Miu, Gu Lei, Hou Tongjiang","Zhang Zhulin, Li Xijie","Hoopla, Hi-YAH ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",,https://wellgousa.com/films/ip-man-awakening
Titane,108,French,"A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years.",2021-07-14,"Drama, Thriller, Horror","pregnancy, trauma, head wound, car crash, serial killer, car accident, woman director, firefighter, masculinity, abortion, missing son, female serial killer, woman disguised as man, immaculate conception, objectum sexuality, body horror","Vincent Lindon, Garance Marillier, Mara Cissé, Laïs Salameh, Agathe Rousselle",Julia Ducournau,Hulu ,"Apple TV, Google Play Movies, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Google Play Movies, Vudu, Microsoft Store ","Kazak Productions, ARTE France Cinéma, Frakas Productions, VOO, BeTV",https://titanemovie.com
CODA,112,English,"As a CODA (Child of Deaf Adults), Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music and her fear of abandoning her parents.",2021-08-13,"Drama, Music, Romance","parent child relationship, music teacher, fishing, deaf, massachusetts, coming of age, remake, singing, family, first love, disability, based on movie, woman director, sign languages, school choir, music school, teenager","Troy Kotsur, Eugenio Derbez, Ferdia Walsh-Peelo, Emilia Jones, Marlee Matlin",Siân Heder,Apple TV Plus ,,,"Vendôme Pictures, Pathé, Picture Perfect Entertainment",https://tv.apple.com/movie/umc.cmc.3eh9r5iz32ggdm4ccvw5igiir
Apache Junction,94,English,"Apache Junction is an outpost of lawlessness, a haven for thieves and cold-blooded killers. After big-city reporter Annabelle Angel arrives to write an article on the town, she becomes a target when notorious gunslinger Jericho Ford comes to her aid. Now Annabelle must entrust her future to a man with a deadly past, as Jericho heads toward a tense showdown.",2021-09-24,"Western, Action, Crime",None,"Ed Morrone, Stuart Townsend, Thomas Jane, Scout Taylor-Compton, Trace Adkins",Justin Lee,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Saban Films, Film Bridge International, Origo Film Group, Hillin Entertainment",Unknown
My Hero Academia: World Heroes' Mission,105,Japanese,"A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. In order to save everyone, the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-class selected hero team. It’s up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia.",2021-08-06,"Animation, Action, Adventure, Science Fiction, Fantasy","japan, hero, superhero, school, fighting, super power, shounen, anime","Nobuhiko Okamoto, Yuki Kaji, Kazuya Nakai, Ryo Yoshizawa, Daiki Yamashita",Kenji Nagasaki,Starz Apple TV Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","BONES, TOHO, Yomiuri Telecasting Corporation, Shueisha, Nippon Television Network Corporation, dentsu, Sony Music Entertainment, movic, Sony Pictures Releasing, Funimation Global Group",Unknown
Resident Evil: Welcome to Raccoon City,107,English,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",2021-11-24,"Horror, Science Fiction, Action","biological weapon, orphanage, mutant, infection, zombie, mansion, police station, based on video game, reboot, ghost town, duringcreditsstinger, lockdown, 1990s, secret experiment","Tom Hopper, Avan Jogia, Hannah John-Kamen, Kaya Scodelario, Robbie Amell",Johannes Roberts,"fuboTV, Starz Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store ","Constantin Film, Davis Films, Screen Gems, Capcom, Impact Pictures",https://www.residentevil.movie
Death Alley,94,English,"In 1892, the Dalton Gang set out to become the most famous outlaws in America. That dream would become a nightmare.",2021-03-11,"Western, Action",None,"Ryan T. Johnson, Delno Ebie, Julia Grace Anderson, Corey Cannon, Nicholas Barton",Nicholas Barton,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Prestigious Films,Unknown
Black Widow,134,English,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",2021-07-07,"Action, Adventure, Science Fiction","assassin, hero, spy, kgb, based on comic, female assassin, female spy, female hero, aftercreditsstinger, marvel cinematic universe (mcu), woman director","Rachel Weisz, Scarlett Johansson, David Harbour, Florence Pugh, Ray Winstone",Cate Shortland,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Marvel Studios,https://www.marvel.com/movies/black-widow
Evil Stepmom,85,English,"Twin sisters set up a dating profile for their dad, but the woman he meets plots to take advantage of wealthy single fathers.",2021-05-28,"Drama, Thriller, TV Movie",None,"Emily Clarke, Julia Lalonde, Tara Spencer-Nairn, Randy Thomas, Hannah Vandenbygaart",Michelle Ouellet,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Tuna Waffle Productions ULC, MarVista Entertainment",Unknown
Licorice Pizza,133,English,"The story of Gary Valentine and Alana Kane growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.",2021-11-26,"Drama, Comedy, Romance","high school, california, jealousy, 1970s, politician, coming of age, love, teenage love, young love, san fernando valley, pinball machine, child actor, young entrepreneur, closeted homosexual, brother brother relationship, jewish, age-gap relationship, period piece, lighthearted, teenager","Alana Haim, Sean Penn, Cooper Hoffman, Bradley Cooper, Tom Waits",Paul Thomas Anderson,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, MGM Plus Roku Premium Channel, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Metro-Goldwyn-Mayer, Focus Features, Bron Studios, Ghoulardi Film Company",http://licoricepizzamovie.com
Cruella,134,English,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.",2021-05-26,"Comedy, Crime","1970s, anti hero, villain, punk rock, fashion designer, fashion, origin story, live action remake","Emma Thompson, Paul Walter Hauser, Mark Strong, Joel Fry, Emma Stone",Craig Gillespie,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Walt Disney Pictures, Gunn Films, Marc Platt Productions",https://movies.disney.com/cruella
Meteor,84,English,"After a meteor collides into Earth, a lonely rancher and a lost young girl are on the run from vicious mercenaries.",2021-09-01,"Science Fiction, Thriller",None,"Thom Hallum, Allyn Carrell, Jordan Walker Ross, Olivia Nash, Robert Keith",Brett Bentman,,"Amazon Video, Vudu ","Amazon Video, Vudu ","B22 Films, ITN Studios",Unknown
The Vault,114,English,"Madrid, Spain, 2010. While the whole city follows the national team's successful participation in the World Cup, a group of daring thieves look for a way into one of the most secure and guarded places on the planet.",2021-03-04,"Drama, Action, Thriller","madrid, spain, world cup, heist, bank vault, treasure hunter, treasure heist","Freddie Highmore, Astrid Bergès-Frisbey, Sam Riley, Liam Cunningham, Jose Coronado",Jaume Balagueró,"Netflix, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Ciudadano Ciskul, Telecinco Cinema, Think Studio, TF1 Studio, Mediaset España, Movistar+, Marrowbone",https://www.sabanfilms.com/films/the-vault
HellKat,79,English,"A fallen MMA fighter must win a netherworld no-holds-barred death tournament against man, beast and demon to save her soul.",2021-02-02,"Action, Thriller, Horror",None,"Richard D. Myers, Adrian Bouchet, Ricardo Freitas, Sarah T. Cohen, Abi Casson Thompson","Scott Chambers, Rebecca Matthews",Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Wild Eye Releasing, Uncork'd Entertainment",Unknown
PAW Patrol: The Movie,86,English,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.,2021-08-09,"Animation, Family, Adventure, Comedy","cartoon, dog, animal, kids","Ron Pardo, Lilly Bartlam, Iain Armitage, Will Brisbin, Marsai Martin",Cal Brunker,"Amazon Prime Video, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Spin Master, Nickelodeon Movies, Paramount, Mikros Image",https://www.pawpatrol.movie
Hell Hath No Fury,94,English,"Branded a traitor by her countrymen, French national Marie DuJardin is rescued by American soldiers on one condition: to survive, she must lead them to a cache of gold - before the Nazis return to claim it for themselves.",2021-11-05,"Action, War",None,"Dominique Vandenberg, Timothy V. Murphy, Louis Mandylor, Nina Bergman, Daniel Bernhardt",Jesse V. Johnson,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Well Go USA Entertainment, Hall²",https://www.wellgousa.com/films/hell-hath-no-fury
Megaboa,100,English,"On a trip to Colombia, a group of college students encounter a fifty-foot boa constrictor, hungry for blood.",2021-11-26,"Action, Horror, Science Fiction",None,"Joe Herrera, Garrett Schulte, Emilia Torello, Michelle Elizabeth O'Shea, Eric Roberts",Mario N. Bonassin,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Redbox ","The Asylum, Emerald City Films",Unknown
No Time to Die,163,English,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",2021-09-29,"Action, Adventure, Thriller","based on novel or book, forgiveness, poison, spy, mi6, family, british secret service, parents, global threat, nanobots","Daniel Craig, Lashana Lynch, Rami Malek, Léa Seydoux, Ralph Fiennes",Cary Joji Fukunaga,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","EON Productions, Metro-Goldwyn-Mayer, Universal Pictures",https://www.007.com/no-time-to-die/
The Accursed,85,English,"Hana spends twenty years suppressing a maleficent curse that was placed upon her bloodline, only to have a family member knowingly release it forcing her to kill or to be killed.",2021-11-12,Horror,"curse, witchcraft, severed hand","George Harrison Xanthis, Maiara Walsh, Izabela Vidovic, Yancy Butler, Melora Walters","Kathryn Michelle, Elizabeta Vidovic",Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Redbox ","Almost Normal Productions, Blue Jean Baby Productions, RMR Productions, Compound B",Unknown
Ad Libitum,87,Russian,"The talented and practical journalist German Krylov, in pursuit of sensation, finds himself in a company that sells a feeling of love. Unexpectedly for himself, he becomes the object of manipulation and falls into a trap from which it is difficult to get out.",2021-01-21,"Thriller, Adventure",None,"Darya Belousova, Igor Petrenko, Evgeniya Kregzhde, Shamil Khamatov, Anton Fedorov",Polina Oldenburg,,,,Gramani Film,Unknown
Jolt,91,English,A bouncer with an anger management problem goes on a furious and resentful rampage after the murder of a friend.,2021-07-15,"Action, Thriller",woman director,"Jai Courtney, Stanley Tucci, Laverne Cox, Bobby Cannavale, Kate Beckinsale",Tanya Wexler,Amazon Prime Video ,,,"Millennium Media, Amazon Studios, Campbell Grobman Films, Busted Shark Productions, Electric Films, Nu Boyana Film Studios, Jolt Productions, Davis Films",https://www.amazon.com/dp/B097QD44P9
Mortal Kombat,110,English,"Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",2021-04-07,"Action, Fantasy, Adventure","saving the world, magic, ninja fighter, alternate dimension, shaolin monk, fighting, based on video game, martial arts tournament, gods, hand to hand combat","Jessica McNamee, Ludi Lin, Lewis Tan, Mehcad Brooks, Josh Lawson",Simon McQuoid,"Max Amazon Channel, TNT ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Atomic Monster, Broken Road Productions, New Line Cinema",https://www.mortalkombatmovie.net
Sing 2,110,English,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",2021-12-01,"Animation, Family, Music, Comedy","stage, villain, sequel, anthropomorphism, singing, animal","Scarlett Johansson, Reese Witherspoon, Taron Egerton, Matthew McConaughey, Bobby Cannavale",Garth Jennings,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling ","Universal Pictures, Illumination",https://www.illumination.com/movie/sing-2/
Free Guy,115,English,"A bank teller discovers he is actually a background player in an open-world video game, and decides to become the hero of his own story. Now, in a world where there are no limits, he is determined to be the guy who saves his world his way before it's too late.",2021-08-11,"Comedy, Adventure, Science Fiction","hero, artificial intelligence (a.i.), video game, virtual reality, gun, code, gamer, bank robbery, bank teller, programmer, mmorpg, heroic","Lil Rel Howery, Ryan Reynolds, Jodie Comer, Joe Keery, Utkarsh Ambudkar",Shawn Levy,"Disney Plus, fuboTV ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Microsoft Store, Spectrum On Demand ","Berlanti Productions, 21 Laps Entertainment, Maximum Effort, Lit Entertainment Group, 20th Century Studios",https://www.20thcenturystudios.com/movies/free-guy
Counterattack,88,Chinese,Security expert Lu Zi Ming is hired to work at an oil and gas plant project bidding event. He is framed by several of the parties involved. In order to prove his innocence he must now devise the ultimate counter-attack.,2021-02-15,"Action, Mystery, Thriller","sniper, knife fight, special ops, oil exploration, friend turned enemy","Vincent Zhao Wenzhuo, Diego Dati, Song Hanhuan, Jiang Yiyi, Lu Peng",Vincent Zhao Wenzhuo,,,,"Changxing Film Culture, Sky & Sea (Shanghai) Culture Media, N.B. Kernel Studios",Unknown
Girl in the Basement,88,English,"Sara is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",2021-02-27,"Thriller, Crime, TV Movie","imprisonment, based on true story, basement, controlling parent","Joely Fisher, Braxton Bjerken, Stefanie Scott, Kim Rosen, Judd Nelson",Elisabeth Röhm,"Hulu, Hoopla, Lifetime Movie Club, A&E Crime Central Apple TV Channel, Lifetime Movie Club Apple TV Channel, Lifetime Movie Club Amazon Channel ","Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",Amazon Video ,"Big Dreams Entertainment, Swirl Films",Unknown
