Title,Runtime (minutes),Language,Overview,Release Date,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
V/H/S/94,104,English,"After the discovery of a mysterious VHS tape, a brutish police SWAT team launches a high-intensity raid on a remote warehouse, only to discover a sinister cult compound whose collection of pre-recorded material uncovers a nightmarish conspiracy.",2021-09-26,"Horror, Thriller, Science Fiction","vhs, found footage, franchise, horror anthology","Brian Paul, Anna Hopkins, Gina Phillips, Tim Campbell, Anthony Christian Potenza","Jennifer Reeder, Timo Tjahjanto, Steven Kostanski, Simon Barrett, Ryan Prows, Chloe Okuno","AMC+ Amazon Channel, AMC+, Hoopla, Shudder, Shudder Amazon Channel, Shudder Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Bloody Disgusting, Raven Banner Entertainment, Radio Silence, Studio71, Hangar 18 Media, Shudder, Cinepocalypse",https://www.shudder.com/movies/watch/vhs94/c29d5b9347f378f8
The Warrior Princess,108,Mongolian,"Princess Khotulun is the daughter of Haidu Khan of the Ugudei dynasty. The film tells the story of Princess Khotulun, the son of Kublai Khan, known in Western and Eastern history as a wrestling princess, and her struggle to reclaim her Golden Sutra.",2021-12-03,"History, Action, Drama",None,"Altantur Altanjargal, Tumurtogtokh Davaakhuu, Badrakh Battogtokh, Tserendolgor Munkhbat, Setgeltuvshin Bayarbat",S. Baasanjargal,"Hoopla, Film Movement Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ",Shuuder Production,Unknown
Olympians at Heart,0,English,"Twins Essie and Ella are best friends who share a passion for gymnastics. When they are both up for the same event, its causes a divided, and they're faced with the challenge of competing against each other.",2021-07-17,Family,gymnastics,"Jake Gosden, Noa DiBerto, Nastia Liukin, Felipe Aukai, Cailan Laine Punnewaert",Amy Force,Hoopla ,,,,Unknown
Eternals,156,English,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",2021-11-03,"Science Fiction, Action, Adventure","superhero, supernatural, based on comic, alien, super power, aftercreditsstinger, marvel cinematic universe (mcu), sign languages, ancient, god-like","Barry Keoghan, Richard Madden, Kumail Nanjiani, Gemma Chan, Angelina Jolie",Chloé Zhao,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Marvel Studios,https://www.marvel.com/movies/the-eternals
Jungle Cruise,127,English,"Dr. Lily Houghton enlists the aid of wisecracking skipper Frank Wolff to take her down the Amazon in his dilapidated boat. Together, they search for an ancient tree that holds the power to heal – a discovery that will change the future of medicine.",2021-07-28,"Action, Adventure, Fantasy","jungle, riverboat, 1910s, amazon river, based on theme park ride","Jack Whitehall, Emily Blunt, Edgar Ramírez, Dwayne Johnson, Jesse Plemons",Jaume Collet-Serra,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Walt Disney Pictures, Seven Bucks Productions, Davis Entertainment, Flynn Picture Company, TSG Entertainment, Zaftig Films",https://movies.disney.com/jungle-cruise
Peter Rabbit 2: The Runaway,93,English,"Peter Rabbit runs away from his human family when he learns they are going to portray him in a bad light in their book. Soon, he crosses paths with an older rabbit who ropes him into a heist.",2021-03-25,"Family, Comedy, Adventure, Animation, Fantasy",peter rabbit,"James Corden, Margot Robbie, David Oyelowo, Domhnall Gleeson, Rose Byrne",Will Gluck,"fuboTV, FXNow ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Columbia Pictures, Olive Bridge Entertainment, Animal Logic, MRC, 2.0 Entertainment",https://www.peterrabbit-movie.com/
The Kindred,94,English,"After her father’s suicide, a young mother investigates what led to his death. But when she is haunted by spirits and unearths an unsolved mystery from 30 years ago, she discovers a dark family history that could prove deadly for her child.",2021-12-28,Horror,None,"James Cosmo, April Pearson, Steve Oram, Blake Harrison, Samantha Bond",Jamie Patterson,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Parkhouse Pictures, AMP International, Jump Start Productions, Uniforms & Weapons Emporium",Unknown
Eva,95,Tagalog,"When Eva gets involved in a steamy threesome with a houseboy and her lady boss, she realizes she has to choose only one between them.",2021-12-24,"Drama, Romance",None,"Ava Mendez, Ivan Padilla, Marco Gomez, Angelica Cervantes, Angeli Khang",Jeffrey Hidalgo,,"Google Play Movies, YouTube ","Google Play Movies, YouTube ","Viva Films, Vivamax",https://www.vivamax.net/movie/T97885#/extra
The Fallout,96,English,"In the wake of a school tragedy, Vada, Mia and Quinton form a unique and dynamic bond as they navigate the never linear, often confusing journey to heal in a world that feels forever changed.",2021-03-17,Drama,"high school, trauma, coming of age, female protagonist, school shooting, woman director, generation z, sister sister relationship","Jenna Ortega, Maddie Ziegler, Niles Fitch, Lumi Pollack, Will Ropp",Megan Park,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",,"Clear Horizon Entertainment, SSS Entertainment",https://www.hbomax.com/the-fallout
Raya and the Last Dragon,107,English,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",2021-03-03,"Animation, Family, Fantasy, Action, Adventure","kung fu, sword, warrior woman, female protagonist, dragon, vietnamese, south asian, warrior","Kelly Marie Tran, Izaac Wang, Awkwafina, Alan Tudyk, Gemma Chan","Don Hall, Carlos López Estrada",Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Walt Disney Pictures, Walt Disney Animation Studios",https://movies.disney.com/raya-and-the-last-dragon
