Title,Runtime (minutes),Language,Overview,Release Date,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Butchers,93,English,"A family of sadistic butchers lives deep inside the backcountry. From the dead of winter to the dog days of summer, anyone who crosses their path is dead meat.",2020-10-15,Horror,"gas station, gore, butcher, meat, redneck, torture, sadist, road","Simon Phillips, Michael Swatton, James Hicks, Julie Mainville, Anne-Carolyne Binette",Adrian Langley,"Amazon Prime Video, Screambox Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ",UNIT XIX,Unknown
Trolls World Tour,90,English,"Queen Poppy and Branch make a surprising discovery — there are other Troll worlds beyond their own, and their distinct differences create big clashes between these various tribes. When a mysterious threat puts all of the Trolls across the land in danger, Poppy, Branch, and their band of friends must embark on an epic quest to create harmony among the feuding Trolls to unite them against certain doom.",2020-03-11,"Family, Animation, Comedy, Fantasy, Adventure, Music","dancing, friendship, concert, country music, guitar, cloud, saxophone, sequel, jail, based on toy, rock music, alien abduction, singing, king, desert, pop music, flute, mirage, electronic music, k-pop, spaceship, jukebox musical","Ron Funches, James Corden, Rachel Bloom, Justin Timberlake, Anna Kendrick",Walt Dohrn,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","DreamWorks Animation, Universal Pictures, dentsu",https://www.dreamworks.com/movies/trolls-world-tour
The Invisible Man,124,English,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",2020-02-26,"Thriller, Science Fiction, Horror","based on novel or book, pregnancy, architect, fake suicide, stalker, murder, domestic abuse, scientist, police detective, death, invisible person, mental hospital, woman in peril, invisible man","Aldis Hodge, Elisabeth Moss, Michael Dorman, Harriet Dyer, Storm Reid",Leigh Whannell,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Blumhouse Productions, Universal Pictures, Goalpost Pictures, Nervous Tick",https://www.theinvisiblemanmovie.com/
News of the World,118,English,"A Texan traveling across the wild West bringing the news of the world to local townspeople, agrees to help rescue a young girl who was kidnapped.",2020-12-25,"Drama, Western, Adventure","newspaper, based on novel or book, texas, horse, native american, shootout, orphan, american civil war, civil war veteran, horse and wagon, 19th century, injured horse","Helena Zengel, Tom Hanks, Michael Angelo Covino, Mare Winningham, Ray McKinnon",Paul Greengrass,"fuboTV, USA Network ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Playtone, Pretty Pictures, Universal Pictures, Perfect World Pictures",https://www.universalpictures.com/movies/news-of-the-world
The New Mutants,94,English,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",2020-04-02,"Science Fiction, Horror, Action, Mystery, Adventure","superhero, mutant, based on comic, superhero team, captivity","Anya Taylor-Joy, Blu Hunt, Charlie Heaton, Henry Zaga, Maisie Williams",Josh Boone,"Disney Plus, fuboTV ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","20th Century Studios, Genre Films, Sunswept Entertainment",https://www.20thcenturystudios.com/movies/the-new-mutants
Greyhound,92,English,"A first-time captain leads a convoy of allied ships carrying thousands of soldiers across the treacherous waters of the ""Black Pit"" to the front lines of WWII. With no air cover protection for 5 days, the captain and his convoy must battle the surrounding enemy Nazi U-boats in order to give the allies a chance to win the war.",2020-07-09,"War, Action, Drama","submarine, allies, atlantic ocean, world war ii, based on true story, convoy, battleship, naval warfare, naval battleship","Josh Wiggins, Tom Hanks, Stephen Graham, Tom Brittney, Rob Morgan",Aaron Schneider,Apple TV Plus ,,,"Playtone, Bron Studios, FilmNation Entertainment, Sycamore Pictures, Zhengfu Pictures, Sony Pictures, Stage 6 Films",https://tv.apple.com/movie/umc.cmc.o5z5ztufuu3uv8lx7m0jcega
Soul,101,English,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",2020-12-25,"Animation, Family, Comedy, Fantasy","new york city, jazz, musician, cat, self-discovery, jazz singer or musician, teacher, life after death","Tina Fey, Jamie Foxx, Rachel House, Graham Norton, Alice Braga",Pete Docter,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ",,"Walt Disney Pictures, Pixar",https://www.disneyplus.com/movies/soul/77zlWrb9vRYp
Underwater,95,English,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",2020-01-08,"Horror, Science Fiction, Action, Adventure","monster, self sacrifice, deep sea, animal attack, giant monster, earthquake, survival, nuclear explosion, disaster, cryptozoology, female protagonist, underwater, survival horror, animal killing, creature feature, mechanical engineering, researcher, 2050s","John Gallagher Jr., Kristen Stewart, T.J. Miller, Vincent Cassel, Mamoudou Athie",William Eubank,"Hulu, fuboTV ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Chernin Entertainment, 20th Century Fox, TSG Entertainment",https://www.20thcenturystudios.com/movies/underwater
Love and Monsters,109,English,"Seven years since the Monsterpocalypse began, Joel Dawson has been living underground in order to survive. But after reconnecting over radio with his high school girlfriend Aimee, Joel decides to venture out to reunite with her, despite all the dangerous monsters that stand in his way.",2020-10-16,"Comedy, Action, Adventure, Science Fiction","monster, bunker, post-apocalyptic future, coming of age, mutant animal, psychotronic, giant crab, teenager","Dylan O'Brien, Ariana Greenblatt, Jessica Henwick, Michael Rooker, Dan Ewing",Michael Matthews,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ",21 Laps Entertainment,https://www.paramountmovies.com/movies/love-and-monsters
The Courier,112,English,Cold War spy Greville Wynne and his Russian source try to put an end to the Cuban Missile Crisis.,2020-01-24,"Thriller, History, Drama","cia, undercover, cold war, based on true story, mi6, british spy, russian spy","Jessie Buckley, Rachel Brosnahan, Angus Wright, Merab Ninidze, Benedict Cumberbatch",Dominic Cooke,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","SunnyMarch, 42, FilmNation Entertainment, Lionsgate, Roadside Attractions",https://www.thecouriermovie.com
Vanguard,107,Chinese,Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.,2020-09-30,"Comedy, Thriller, Action, Adventure","espionage, fight, kidnapping, bodyguard, survival, brutality, gun violence, skilled fighter, suspense","Miya Muqi, Jackson Liu, Jackie Chan, Yang Yang, Allen Ai Lun",Stanley Tong,Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","China Film (Shanghai) International Media Co., China Film Group Corporation, Epitome Capital, Shanghai Lix Entertainment, Shanghai Tencent Pictures Culture Media, Shenzhen Media Film & Television, Tencent Pictures, One Cool Film Production, India Film Services, Huayu International Entertainment, JP Media Limited, Dexter Studios",Unknown
Run,90,English,"Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret.",2020-11-20,"Thriller, Horror, Drama","small town, wheelchair user   , homeschooling, single mother, washington state, prescription medication, physical disability, cloistered life, college applications","Kiera Allen, Pat Healy, Erik Athavale, Sara Sohn, Sarah Paulson",Aneesh Chaganty,"Hulu, fuboTV ",,,Search Party,https://www.hulu.com/movie/run-72eec9c8-0164-4e0c-868a-b433960d7f93
The Tax Collector,95,English,David Cuevas is a family man who works as a gangland tax collector for high ranking Los Angeles gang members. He makes collections across the city with his partner Creeper making sure people pay up or will see retaliation. An old threat returns to Los Angeles that puts everything David loves in harm’s way.,2020-08-07,"Action, Crime, Drama",family relationships,"Elpidia Carrillo, Bobby Soto, Shia LaBeouf, Cinthya Carmona, George Lopez",David Ayer,Hoopla ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Cross Creek Pictures, Cedar Park Entertainment, Faster Horse Pictures, Kodiak Pictures, RLJE Films",https://us.rljentertainment.com/franchise/239186/Tax-Collector-The
Scoob!,93,English,"In Scooby-Doo’s greatest adventure yet, see the never-before told story of how lifelong friends Scooby and Shaggy first met and how they joined forces with young detectives Fred, Velma, and Daphne to form the famous Mystery Inc. Now, with hundreds of cases solved, Scooby and the gang face their biggest, toughest mystery ever: an evil plot to unleash the ghost dog Cerberus upon the world. As they race to stop this global “dogpocalypse,” the gang discovers that Scooby has a secret legacy and an epic destiny greater than anyone ever imagined.",2020-07-08,"Animation, Comedy, Family, Mystery","friendship, superhero, heroism, talking dog, prequel, friends, based on cartoon, criminal investigation, boy and dog, caveman, fright","Gina Rodriguez, Amanda Seyfried, Mckenna Grace, Christina Hendricks, Frank Welker",Tony Cervone,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Warner Bros. Pictures Animation, Warner Bros. Pictures, Atlas Entertainment, 1492 Pictures",https://www.scoob.movie/
Happy-Go-Lucky Days,54,Japanese,"Love is love. Someday, the pain of being in love will be an endearing memory. No matter who the feelings are towards, no matter what form it takes, all love and lifestyles have the same value. An omnibus anime tells the stories of “The wedding of an ex”, “a student and a teacher at an all-boys’ school” and “childhood friends whose bodies and hearts change with adolescence.”",2020-10-23,"Animation, Drama, Romance","slice of life, based on manga, relationship, lgbt, anime, yuri","Seiichiro Yamashita, Takahiro Sakurai, Kana Hanazawa, Ibuki Kido, Mikako Komatsu",Takuya Sato,HiDive ,Amazon Video ,,LIDENFILMS,https://dounikanaruhibi.com/
Greenland,120,English,"John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting levelled, the Garritys experience the best and worst in humanity. As the countdown to the global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven.",2020-07-29,"Action, Thriller, Drama","husband wife relationship, panic, kidnapping, looting, natural disaster, state of emergency, comet, end of the world, meteorite, disaster, apocalypse, destruction of planet, diabetic, army base, emergency, greenland, atlanta, georgia","Gerard Butler, David Denman, Roger Dale Floyd, Morena Baccarin, Hope Davis",Ric Roman Waugh,"Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","STXfilms, Thunder Road, Anton, G-BASE, Riverstone Pictures, Truenorth Productions",http://www.stxfilms.com/greenland/
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),109,English,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord.",2020-02-05,"Action, Crime","police, pickpocket, chase, joker, psychopath, superhero, nightclub, gang leader, based on comic, breaking the fourth wall, betrayal, vigilante, mobster, organized crime, shootout, female protagonist, orphan, criminal, police officer, police detective, spin off, hyena, held at gunpoint, henchman, exploding body, death of family, crime family, female police officer, nightclub owner, crime lord, woman director, hand to hand combat, vigilantism, suspended cop, murder of family, dc extended universe (dceu), dumped by boyfriend, loss of family, supernatural power, female antihero, vigilantes, betrayal of trust, gotham city, vigilante justice, jailbreak, suspended from job","Margot Robbie, Jurnee Smollett, Mary Elizabeth Winstead, Ewan McGregor, Rosie Perez",Cathy Yan,"Netflix, Max, Max Amazon Channel, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Warner Bros. Pictures, DC Films, LuckyChap Entertainment, Clubhouse Pictures, Kroll & Co Entertainment",http://www.birdsofpreymovie.net
Dolittle,101,English,"After losing his wife seven years earlier, the eccentric Dr. John Dolittle, famed doctor and veterinarian of Queen Victoria’s England, hermits himself away behind the high walls of Dolittle Manor with only his menagerie of exotic animals for company. But when the young queen falls gravely ill, a reluctant Dolittle is forced to set sail on an epic adventure to a mythical island in search of a cure, regaining his wit and courage as he crosses old adversaries and discovers wondrous creatures.",2020-01-02,"Family, Comedy, Fantasy, Adventure","ship, island, based on novel or book, victorian england, doctor, based on children's book, animal, veterinary, talking to animals, voyage","Jessie Buckley, Antonio Banderas, Robert Downey Jr., Jim Broadbent, Michael Sheen",Stephen Gaghan,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Universal Pictures, Team Downey, Perfect World Pictures, Roth-Kirschenbaum Films",https://www.uphe.com/movies/dolittle
2067,114,English,"A lowly utility worker is called to the future by a mysterious radio signal, he must leave his dying wife to embark on a journey that will force him to face his deepest fears in an attempt to change the fabric of reality and save humankind from its greatest environmental crisis yet.",2020-10-01,"Science Fiction, Thriller","climate change, time travel, deforestation, 2060s, extinct plants, synthetic oxygen","Aaron Glenane, Sana'a Shaik, Kodi Smit-McPhee, Leeanna Walsman, Ryan Kwanten",Seth Larney,Hoopla ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Arcadia, KOJO Entertainment, Elevate Production Finance, Futurism Studios, Rocketboy",Unknown
Woman of the Photographs,89,Japanese,"Solitary and skilled photographer Kai is afraid of women. When he encounters a beautiful model, Kyoko suffering from body dysmorphia, they begin a twisted romance. Kai is determined to save Kyoko from her anguishes, even if it means death to himself.",2020-09-26,"Thriller, Horror, Romance",None,"Toki Koinuma, Itsuki Ōtaki, Hideki Nagai, Toshiaki Inomata",Takeshi Kushida,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Pyramid Film,Unknown
Dragonheart: Vengeance,97,English,"Lukas, a young farmer whose family is killed by savage raiders in the countryside, sets out on an epic quest for revenge, forming an unlikely trio with a majestic dragon and a swashbuckling, sword-fighting mercenary, Darius.",2020-02-04,"Fantasy, Action, Adventure",dragon,"Joseph Millson, Carolina Carlsson, Helena Bonham Carter, Jack Kane, Arturo Muselli",Ivan Silvestrini,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ",Universal Pictures,Unknown
We Can Be Heroes,97,English,"When alien invaders capture Earth's superheroes, their kids must learn to work together to save their parents - and the planet.",2020-12-25,"Family, Action, Fantasy, Comedy","superhero, alien, alien invasion, family, father daughter relationship","Lyon Daniels, YaYa Gosselin, Lotus Blossom, Hala Finley, Andy Walken",Robert Rodriguez,"Netflix, Netflix basic with Ads ",,,"Troublemaker Studios, Quick Draw Productions, Double R Productions",https://www.netflix.com/title/80994666
The Hunt,90,English,"Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers.",2020-03-11,"Action, Thriller, Horror","dark comedy, gore, hunting human beings, satire, murder, death game","Hilary Swank, Ike Barinholtz, Ethan Suplee, Betty Gilpin, Teri Wyble",Craig Zobel,,"Apple TV, Amazon Video, Vudu, AMC on Demand ","Apple TV, Amazon Video, Vudu, FlixFling ","Blumhouse Productions, dentsu, White Rabbit Productions, Universal Pictures",https://www.thehunt.movie/
"Miraculous World: New York, United HeroeZ",61,French,"Marinette’s class is headed to New York, the city of superheroes, for French-American Friendship Week. The whole class is there...except Adrien, whose father refuses to let him go!",2020-09-25,"Animation, TV Movie, Fantasy, Action","new york city, superhero","Antoine Tomé, Thierry Kazazian, Annouck Hautbois, Benjamin Bollen, Fanny Bloc",Thomas Astruc,"Netflix, Disney Plus, Netflix basic with Ads ",,,"Zagtoon, Method Animation, SAMG Animation, TF1, Gloob, Norman Studio, Télé-Québec, The Walt Disney Company EMEA, Morena Films, Toei Animation",https://www.disneyplus.com/movies/miraculous-world-new-york-united-heroez/6qITTDc66tyO
The Empty Man,137,English,"Retired cop James Lasombra is asked by a friend to investigate the disappearance of her daughter, who seemingly packed in the night and left an ominous message on the bathroom mirror - ""The Empty Man Made Me Do It."" As he investigates this mysterious figure further, James begins to see and hear strange things, and is forced to come to terms with his past and what it means for his future.",2020-10-22,"Horror, Mystery, Thriller","experiment, detective, cave, missouri, investigation, bridge, cult, based on comic, ex-cop, hospital, based on graphic novel, alcoholic, bhutan, missing person, occult, cosmic horror, folk lore","Samantha Logan, Marin Ireland, Evan Jonigkeit, Sasha Frolova, James Badge Dale",David Prior,"Hulu, fuboTV ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","BOOM! Studios, Out of Africa Entertainment, 20th Century Fox",https://www.20thcenturystudios.com/movies/the-empty-man
Coma,110,Russian,"A young and talented architect comes to his senses after a horrific accident only to find himself in the odd dystopian world. A world that is filled with the memories of all current coma patients. Just like a human memory this world is fragmental, chaotic and unstable. This is COMA: icecaps, rivers and cities can all exist in a space of a single room and laws of physics are no longer laws as they can be bent.",2020-01-01,"Science Fiction, Adventure, Action","coma, architect, death, accident, virtual world","Lyubov Aksyonova, Rinal Mukhametov, Anton Pampushnyy, Konstantin Lavronenko, Miloš Biković",Nikita Argunov,Hoopla ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Fresh Film, Cinema Fund, Mars Media Entertainment, Big Cinema House, Argunov Studio, Central Partnership",Unknown
Sex Girl 7,70,Korean,"Three childhood friends finally gathered. From the first meeting, it's not so bad. Na-yeong enters the house, angry at Min-hyeok and Jin-woo who broke their promise. After living apart for several years, they lived in one house. Three people who are childhood friends but not ordinary friends. When one person disappears, the secret between the two is revealed...  Who can develop from a friend to a lover... The unknown story begins now.",2020-11-19,"Drama, Romance",softcore,"Sang Woo, Seo Bo-ra, James",Choi Jin-chul,,,,,Unknown
Sniper: Assassin's End,95,English,"Special Ops sniper Brandon Beckett is set up as the primary suspect for the murder of a foreign dignitary on the eve of signing a high-profile trade agreement with the United States. Narrowly escaping death, Beckett realizes that there may be a dark operative working within the government, and partners with the only person whom he can trust: his father, legendary sniper Sgt. Thomas Beckett. Both Becketts are on the run from the CIA, Russian mercenaries, and a yakuza-trained assassin with sniper skills that rival both legendary sharpshooters.",2020-06-15,Action,"sniper, female sniper","Lochlyn Munro, Chad Michael Collins, Ryan Robbins, Emily Tennant, Sayaka Akimoto",Kaare Andrews,"Netflix, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Vudu, Microsoft Store ",Destination Films,Unknown
The Swordsman,101,Korean,"After being blinded in a coup against the king, Joseon's greatest swordsman goes into hiding, far removed from his city's anguish. But when traffickers kidnap his daughter, he has no choice but to unsheathe his sword once more.",2020-09-23,"Action, Drama, History","sword fight, joseon dynasty, chinese invasion of korea","Kim Hyun-soo, Jang Hyuk, Joe Taslim, Jang Hyun-sung, Jeong Man-sik",Choi Jae-hoon,"Amazon Prime Video, fuboTV, Hoopla, Hi-YAH ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Opus Pictures, Kiwi Media Group, The Wave E&m",https://www.wellgousa.com/films/the-swordsman
