Title,Runtime (minutes),Language,Overview,Release Date,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Roald Dahl's The Witches,106,English,"In late 1967, a young orphaned boy goes to live with his loving grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered.",2020-10-26,"Family, Comedy, Fantasy","hotel, witch, based on novel or book, mouse, transformation, orphan, based on children's book, talking animal","Jahzir Bruno, Anne Hathaway, Chris Rock, Stanley Tucci, Octavia Spencer",Robert Zemeckis,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","ImageMovers, Warner Bros. Pictures, Necropia Entertainment, Esperanto Filmoj",https://www.thewitchesmovie.net/
Project Power,113,English,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",2020-08-14,"Action, Crime, Science Fiction","drugs, super power, force, pills","Joseph Gordon-Levitt, Jamie Foxx, Courtney B. Vance, Rodrigo Santoro, Dominique Fishback","Ariel Schulman, Henry Joost","Netflix, Netflix basic with Ads ",,,"Screen Arcade, Supermarché",http://www.netflix.com/projectpower
Sister of the Groom,82,English,"Audrey attempts to stop her brother from marrying a young French woman during their rescheduled wedding weekend in the Hamptons, which happens to be the same weekend she turns 40.",2020-12-18,"Romance, Comedy","birthday, married couple, long island, new york, celebration, argument, jewish family, french woman, imminent wedding, brother sister relationship, drug, disapproval, turned 40, brother's wedding, shabbat, wedding weekend, meddling sibling","Tom Everett Scott, Jake Hoffman, Charlie Bewley, Alicia Silverstone, Mathilde Ollivier",Amy Miller Gross,Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Spectrum On Demand ","Mandorla Productions, Saban Films, Premiere Entertainment Group",Unknown
Bad Boys for Life,124,English,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",2020-01-15,"Thriller, Action, Crime","miami, florida, detective, women's prison, sequel, prison escape, murder, drug cartel, police chase, police detective, buddy cop, buddy film, action hero, past relationship","Alexander Ludwig, Vanessa Hudgens, Will Smith, Paola Nuñez, Martin Lawrence","Adil El Arbi, Bilall Fallah","Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Columbia Pictures, 2.0 Entertainment, Don Simpson/Jerry Bruckheimer Films, Overbrook Entertainment",https://www.sonypictures.com/movies/badboysforlife
Fatale,102,English,"After a one-night stand, a successful married man finds himself entangled and tricked in a female detective's latest investigation murder scheme.",2020-12-18,"Drama, Thriller",None,"Hilary Swank, Mike Colter, Geoffrey Owens, Damaris Lewis, Michael Ealy",Deon Taylor,Peacock Premium ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Hidden Empire Film Group, Summit Entertainment",https://fatale.movie
Proximity,119,English,A young NASA JPL scientist is abducted by extraterrestrials but when no one believes his story he becomes obsessed with finding proof which leads him on a journey of discovery.,2020-05-15,"Science Fiction, Drama","nasa, extraterrestrial, scientist, tracking device, costa rica, secret government agency, fellow abductees","Highdee Kuan, Christian Prentice, Ryan Masson, Nomi Abadi, Don Scribner",Eric Demeusy,Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Demeusy Pictures,https://www.proximitymovie.com/
Sonic the Hedgehog,99,English,"Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.",2020-02-12,"Action, Science Fiction, Comedy, Family","friendship, video game, san francisco, california, road trip, cop, based on video game, duringcreditsstinger, bar fight, hedgehog, live action and animation, live action remake, flossing","James Marsden, Jim Carrey, Tika Sumpter, Natasha Rothwell, Ben Schwartz",Jeff Fowler,"Amazon Prime Video, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel ","Apple TV, Amazon Video, Google Play Movies, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, Vudu, Microsoft Store, FlixFling ","Original Film, Blur Studio, Marza Animation Planet, Paramount, SEGA, SEGA of America",https://www.paramountmovies.com/movies/sonic-the-hedgehog
Agent Jade Black,101,English,A skilled young female agent is tasked with capturing a rogue former agent before she can unleash a biological weapon starting with the wealthy and powerful purveyors of the international sex trade.,2020-09-29,Action,None,"Caleb Fellenstein, Connie Franklin, Katie Burgess, Sidney Flack, Luke Wyckoff",Terry Spears,fuboTV ,"Apple TV, Amazon Video, Vudu ","Apple TV, Amazon Video, Vudu ",,Unknown
The War with Grandpa,98,English,"Peter is thrilled that his Grandpa is coming to live with his family. That is, until Grandpa moves into Peter's room, forcing him upstairs into the creepy attic. And though he loves his Grandpa, he wants his room back - so he has no choice but to declare war.",2020-08-27,"Comedy, Family","friendship, birthday, grandfather, teenage girl, family, family conflict, attic, changing room, resentment, duringcreditsstinger","Uma Thurman, Robert De Niro, Oakes Fegley, Laura Marano, Rob Riggle",Tim Hill,Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Marro Films, EFO Films, Tri G, West Madison Entertainment",https://warwithgrandpa.com/
Skylines,113,English,"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.",2020-10-25,"Science Fiction, Action","mind control, spacecraft, martial arts, self sacrifice, space travel, promise, alien, revenge, betrayal, female protagonist, creature, battle, resistance fighter, virus, brother sister relationship, good versus evil","Yayan Ruhian, Rhona Mitra, Alexander Siddig, Daniel Bernhardt, Lindsey Morgan",Liam O'Donnell,"Netflix, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Mirabelle Pictures Productions, Artbox, Fasten Films, Media Finance Capital, M45 Productions, Hydraulx, Gifflar Films Limited, Lipsync Productions",Unknown
