Movie_Name,Runtime,Original_Language,Overview,Release Date,Genre,Keywords
Thanksgiving,106,en,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the holiday. Picking off residents one by one, what begins as random revenge killings are soon revealed to be part of a larger, sinister holiday plan.",2023-11-16,"Horror, Mystery, Thriller","small town, sadism, holiday, massachusetts, thanksgiving, dark comedy, riot, plymouth, murder, serial killer, consumerism, slasher, whodunit, aftercreditsstinger, murder spree, teenage killer, black friday, based on short film, holidays, revenge slasher, stalked by a killer, revenge horror, masked killer, teen slasher, holiday horror"
Mavka: The Forest Song,99,uk,"Forest soul Mavka faces an impossible choice between her heart and her duty as guardian to the Heart of the Forest, when she falls in love with the talented young human musician Lukas.",2023-03-02,"Animation, Adventure, Family, Fantasy","based on novel or book, fairy, nature, folklore, based on myths, legends or folklore, mavka, ukrainian folklore, independent film, love vs duty"
Retribution,91,en,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks- all with his kids trapped in the back seat.",2023-08-23,Thriller,"assassination, bomb, remake, divorce, duringcreditsstinger, phone call, berlin"
Talk to Me,95,en,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",2023-07-26,"Horror, Thriller","suicide, trauma, possession, female friendship, addiction, grief, female protagonist, death of mother, self mutilation, mental health, dead parent, social media, peer pressure, disembodied hand, generation z, self-harm, supernatural horror, cautionary tale, adelaide australia, body horror, graphic violence, teenager, modern australia"
All the Names of God,105,es,"After being implicated in a terrorist attack, Santi, a taxi driver, is taken hostage by one of the perpetrators.",2023-09-15,"Drama, Action, Thriller",
Indiana Jones and the Dial of Destiny,155,en,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",2023-06-28,"Adventure, Action","treasure hunt, ancient rome, sequel, flashback, knife fight, archaeologist, adventurer, 1960s, nazi germany, action adventure, suspenseful"
The Pope's Exorcist,103,en,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",2023-04-05,"Horror, Thriller","spain, rome, italy, pig, vatican, pope, possession, conspiracy, devil, exorcist, skepticism, catholic priest, 1980s, supernatural horror"
Talk to Me,95,en,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",2023-07-26,"Horror, Thriller","suicide, trauma, possession, female friendship, addiction, grief, female protagonist, death of mother, self mutilation, mental health, dead parent, social media, peer pressure, disembodied hand, generation z, self-harm, supernatural horror, cautionary tale, adelaide australia, body horror, graphic violence, teenager, modern australia"
Chicken Run: Dawn of the Nugget,98,en,A band of fearless chickens flock together to save poultry-kind from an unsettling new threat: a nearby farm that's cooking up something suspicious.,2023-12-08,"Family, Animation, Adventure, Comedy","rescue, chicken, sequel, stop motion, animal, reboot, claymation, plasticine"
Retribution,91,en,"When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks- all with his kids trapped in the back seat.",2023-08-23,Thriller,"assassination, bomb, remake, divorce, duringcreditsstinger, phone call, berlin"
All the Names of God,105,es,"After being implicated in a terrorist attack, Santi, a taxi driver, is taken hostage by one of the perpetrators.",2023-09-15,"Drama, Action, Thriller",
Carl's Date,9,en,"Carl Fredricksen reluctantly agrees to go on a date with a lady friend—but admittedly has no idea how dating works these days. Ever the helpful friend, Dug steps in to calm Carl's pre-date jitters and offer some tried-and-true tips for making friends—if you're a dog.",2023-06-15,"Animation, Adventure, Family","date, love, dog, short film"
Saw X,118,en,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.",2023-09-27,"Horror, Thriller","mexico city, mexico, sadism, riddle, gore, sequel, con artist, cancer, scam, serial killer, torture, drugs, survival horror, duringcreditsstinger, franchise, jigsaw, méxico, saw, death game, requel"
The Wandering Earth II,173,zh,"Humans built huge engines on the surface of the earth to find a new home. But the road to the universe is perilous. In order to save earth, young people once again have to step forward to start a race against time for life and death.",2023-01-22,"Science Fiction, Action, Drama","space travel, space station, earth in peril, global threat, giant engine, global government"
Teenage Mutant Ninja Turtles: Mutant Mayhem,100,en,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",2023-07-31,"Animation, Comedy, Action, Science Fiction","new york city, sibling relationship, skateboarding, crime fighter, superhero, turtle, ninja, nostalgic, duringcreditsstinger, teenage mutant ninja turtles, aspiring journalist, anthropomorphic animal, excited, exhilarated"
Isla bonita,0,es,Three friends travel towards Iquitos in search of fun and will decide if it's time to put an end to the routine life they have.,2023-11-30,"Comedy, Adventure",
One Life,109,en,"British stockbroker Nicholas Winton visits Czechoslovakia in the 1930s and forms plans to assist in the rescue of Jewish children before the onset of World War II, in an operation that came to be known as the Kindertransport.",2023-09-09,"Drama, History, War","nazi, world war ii, czechoslovakia, based on true story, nazi invasion, jewish family, kindertransport, jewish refugee, 1930s, jewish history, jews, nazi germany, jews in hiding, jewish child, jewish community"
Me contro Te: Il film - Missione giungla,73,it,"After their adventures in Ancient Egypt, Luì and Sofì just want to rest, but a new threat looms over the Earth. A magical spring hidden in the jungle holds the key to undoing all the world's spells, but if tainted, it can turn the Earth into a barren, lifeless wasteland. Viperiana has discovered this and with the help of her faithful Serpe servant has already started mixing enchanted potions in the spring that turn the water purple; it will only take a few days for everything to be irreversibly poisoned. A fight against time begins for Luì and Sofì who, together with Pongo's assistant and accompanied by the guide Serenino and Tara, daughter of the Pesantosi tribal chief, will have to decipher the map that will lead them to the magical spring and foil Viperiana's diabolical plan . But they have to be careful, because an unexpected enemy lurks among them.",2023-01-19,"Family, Fantasy",
"Ruby Gillman, Teenage Kraken",91,en,"Ruby Gillman, a sweet and awkward high school student, discovers she's a direct descendant of the warrior kraken queens. The kraken are sworn to protect the oceans of the world against the vain, power-hungry mermaids. Destined to inherit the throne from her commanding grandmother, Ruby must use her newfound powers to protect those she loves most.",2023-06-28,"Animation, Family, Fantasy, Comedy","high school, ocean, boat, transformation, fisherman, mermaid, coming of age, prom, female protagonist, kraken, female villain, coastal town, fitting in, trident, 3d animation, teenager, animation"
Nowhere,109,es,"A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.",2023-09-29,"Thriller, Drama","lost at sea, one location, survival at sea"
Mamacruz,83,es,"Cruz is a grandma who's spent years, decades actually, without having an orgasm. Religiously devout, it wasn't something that she considered particularly important, or that she'd even given much thought to... until, one day, while surfing the internet, she again starts to feel those desires and sensations she had believed were long gone. Now she is faced with a dilemma: how can she balance her religious beliefs with this new sexual and sensual awakening that has suddenly come back into her life?",2023-10-27,Drama,
The Bridge Curse: Ritual,101,zh,"According to legend, Yangminshan’s Chinese Culture University sits where the realms of the living and dead collide. The architecture was originally given an auspicious “bagua” design to ward off evil, but was instead maliciously changed into an “inverse bagua”. Countless apparition sightings and paranormal incidents have plagued the university ever since. Three years ago, a student developing an augmented reality horror game at the university fell into a coma following a mysterious elevator accident. To complete the game, his younger sister begins testing the various urban legend-inspired AR challenges with the help of her friends, leading them down a path of increasingly bizarre and terrifying encounters…",2023-10-13,Horror,
All of Us Strangers,106,en,"One night in his near-empty tower block in contemporary London, Adam has a chance encounter with a mysterious neighbor Harry, which punctures the rhythm of his everyday life. As a relationship develops between them, Adam is preoccupied with memories of the past and finds himself drawn back to the suburban town where he grew up, and the childhood home where his parents appear to be living, just as they were on the day they died, 30 years before.",2023-12-22,"Romance, Drama, Fantasy","london, england, based on novel or book, isolation, screenwriter, gay club, surrealism, nostalgia, alcoholism, love, grief, loneliness, neighbor, memory, childhood home, death, magic realism, high rise, tower block, lgbt, record player, drunkenness, christmas, metaphysical, father son relationship, mother son relationship, gay theme, independent film, apartment, boys' love (bl), death of parents, dorking, england"
Creed III,116,en,"After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter with nothing to lose.",2023-03-01,"Drama, Action","husband wife relationship, philadelphia, pennsylvania, sports, deaf, sequel, orphan, former best friend, ex-con, childhood friends, juvenile detention center, boxing, prodigy"
Ant-Man and the Wasp: Quantumania,125,en,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",2023-02-15,"Action, Adventure, Science Fiction","hero, superhero, ant, based on comic, sequel, family, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
The Exorcist: Believer,111,en,"Since his wife's death, Victor has raised his daughter Angela alone. After she and her friend return from a three-day disappearance with missing memories, they begin displaying frightening behavior reminiscent of the MacNeil possession fifty years prior.",2023-10-04,Horror,"faith, exorcism, possession, sequel, disappearance, death of mother, exorcist, reboot, demonic possession, father daughter relationship"
